tex_file,line,number,context,status,hit_files,human_confirmed
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,25,256,A learnable matrix $W_{\text{raw}} \in \mathbb{R}^{256 \times 576}$ is projected at every forward pass onto the set of matrices with orthonormal rows. Using the,FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\reports\equitas_rcmf_edge_benchmark_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,25,576,A learnable matrix $W_{\text{raw}} \in \mathbb{R}^{256 \times 576}$ is projected at every forward pass onto the set of matrices with orthonormal rows. Using the,FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\pilot_checkpoints\oof_preds_rnd.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,25,576,A learnable matrix $W_{\text{raw}} \in \mathbb{R}^{256 \times 576}$ is projected at every forward pass onto the set of matrices with orthonormal rows. Using the,FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\pilot_checkpoints\oof_preds_rnd.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,25,256,A learnable matrix $W_{\text{raw}} \in \mathbb{R}^{256 \times 576}$ is projected at every forward pass onto the set of matrices with orthonormal rows. Using the,FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\reports\equitas_rcmf_edge_benchmark_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,27,256,"W_{\text{St}} = Q^{\top}, \qquad W_{\text{St}} W_{\text{St}}^{\top} = I_{256}.",FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\reports\equitas_rcmf_edge_benchmark_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,31,192,"W_{\text{causal}} = W_{\text{St}}[1{:}192, :], \qquad W_{\text{conf}} = W_{\text{St}}[193{:}256, :],",FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\leakage_run\spectral_verification.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,31,193,"W_{\text{causal}} = W_{\text{St}}[1{:}192, :], \qquad W_{\text{conf}} = W_{\text{St}}[193{:}256, :],",FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\estimator_comparison_full_output.txt;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_rnd.csv;outputs\reports\eqarnb_pruning_fairness_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,31,256,"W_{\text{causal}} = W_{\text{St}}[1{:}192, :], \qquad W_{\text{conf}} = W_{\text{St}}[193{:}256, :],",FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\reports\equitas_rcmf_edge_benchmark_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,33,192,which gives $\mathbf{v}_{\text{causal}} = W_{\text{causal}}\mathbf{v}_{\text{raw}} \in \mathbb{R}^{192}$ and $\mathbf{v}_{\text{conf}} = W_{\text{conf}}\mathbf{,FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\leakage_run\spectral_verification.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,33,64,which gives $\mathbf{v}_{\text{causal}} = W_{\text{causal}}\mathbf{v}_{\text{raw}} \in \mathbb{R}^{192}$ and $\mathbf{v}_{\text{conf}} = W_{\text{conf}}\mathbf{,FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,37,1.7149,so the two blocks project $\mathbf{v}_{\text{raw}}$ onto orthogonal subspaces. The orthogonality error $\|W_{\text{causal}} W_{\text{conf}}^{\top}\|_F$ was meas,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,69,1.5,"where $\kappa$ is a learnable temperature initialized at $1.5$ and clamped to $[0.1, 10.0]$.",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,69,0.1,"where $\kappa$ is a learnable temperature initialized at $1.5$ and clamped to $[0.1, 10.0]$.",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,69,10.0,"where $\kappa$ is a learnable temperature initialized at $1.5$ and clamped to $[0.1, 10.0]$.",FOUND,outputs\interim_secured_metrics.csv;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,81,128,\hat{Y} = \operatorname{Softmax}\!\Bigl(\operatorname{Linear}_{128 \to 2}\bigl(\operatorname{Dropout}_{0.15}(\operatorname{SiLU}(\operatorname{Linear}_{192 \to ,FOUND,outputs\analysis\thesis_final_comprehensive_report.json;outputs\leakage_run\estimator_comparison_full_output.txt;outputs\leakage_run\estimator_per_clip_results.csv;outputs\leakage_run\manifest_geometry_audit.pre_o7.txt;outputs\leakage_run\null_corrs.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,81,0.15,\hat{Y} = \operatorname{Softmax}\!\Bigl(\operatorname{Linear}_{128 \to 2}\bigl(\operatorname{Dropout}_{0.15}(\operatorname{SiLU}(\operatorname{Linear}_{192 \to ,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,81,192,\hat{Y} = \operatorname{Softmax}\!\Bigl(\operatorname{Linear}_{128 \to 2}\bigl(\operatorname{Dropout}_{0.15}(\operatorname{SiLU}(\operatorname{Linear}_{192 \to ,FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\leakage_run\spectral_verification.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,81,128,\hat{Y} = \operatorname{Softmax}\!\Bigl(\operatorname{Linear}_{128 \to 2}\bigl(\operatorname{Dropout}_{0.15}(\operatorname{SiLU}(\operatorname{Linear}_{192 \to ,FOUND,outputs\analysis\thesis_final_comprehensive_report.json;outputs\leakage_run\estimator_comparison_full_output.txt;outputs\leakage_run\estimator_per_clip_results.csv;outputs\leakage_run\manifest_geometry_audit.pre_o7.txt;outputs\leakage_run\null_corrs.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,88,0.5,"\mathcal{L}_{\text{total}} = \mathcal{L}_{\text{task}} + 0.5\,\mathcal{L}_{\text{conf}} + 1.0\,\mathcal{L}_{\text{causal-inv}} + 0.5\,\mathcal{L}_{\text{latent-",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,88,1.0,"\mathcal{L}_{\text{total}} = \mathcal{L}_{\text{task}} + 0.5\,\mathcal{L}_{\text{conf}} + 1.0\,\mathcal{L}_{\text{causal-inv}} + 0.5\,\mathcal{L}_{\text{latent-",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,88,0.5,"\mathcal{L}_{\text{total}} = \mathcal{L}_{\text{task}} + 0.5\,\mathcal{L}_{\text{conf}} + 1.0\,\mathcal{L}_{\text{causal-inv}} + 0.5\,\mathcal{L}_{\text{latent-",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,88,1.0,"\mathcal{L}_{\text{total}} = \mathcal{L}_{\text{task}} + 0.5\,\mathcal{L}_{\text{conf}} + 1.0\,\mathcal{L}_{\text{causal-inv}} + 0.5\,\mathcal{L}_{\text{latent-",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,88,0.5,"\mathcal{L}_{\text{total}} = \mathcal{L}_{\text{task}} + 0.5\,\mathcal{L}_{\text{conf}} + 1.0\,\mathcal{L}_{\text{causal-inv}} + 0.5\,\mathcal{L}_{\text{latent-",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,88,0.5,"\mathcal{L}_{\text{total}} = \mathcal{L}_{\text{task}} + 0.5\,\mathcal{L}_{\text{conf}} + 1.0\,\mathcal{L}_{\text{causal-inv}} + 0.5\,\mathcal{L}_{\text{latent-",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,105,0.5,"\text{score} = \text{Acc} - 0.5\,|\Delta\text{DP}| - 0.5\,\max(\Delta\text{EO}) - 0.2\,\text{CF Gap}.",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,105,0.5,"\text{score} = \text{Acc} - 0.5\,|\Delta\text{DP}| - 0.5\,\max(\Delta\text{EO}) - 0.2\,\text{CF Gap}.",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,105,0.2,"\text{score} = \text{Acc} - 0.5\,|\Delta\text{DP}| - 0.5\,\max(\Delta\text{EO}) - 0.2\,\text{CF Gap}.",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,109,24,"The experiments use a pre-registered pilot cohort of eight participants (s1--s8) from UBFC-Phys~\cite{sabour2023}, a multimodal dataset recorded during a social",FOUND,outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,109,"3,344","The experiments use a pre-registered pilot cohort of eight participants (s1--s8) from UBFC-Phys~\cite{sabour2023}, a multimodal dataset recorded during a social",FOUND,outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\source_audits\source_audit_adult_curation_pool.csv;docs\experiment_preregistration.md;docs\FULL_THESIS_PAPER.md,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,109,"2,344","The experiments use a pre-registered pilot cohort of eight participants (s1--s8) from UBFC-Phys~\cite{sabour2023}, a multimodal dataset recorded during a social",FOUND,outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_rnd.csv;docs\FULL_THESIS_PAPER.md,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,109,504,"The experiments use a pre-registered pilot cohort of eight participants (s1--s8) from UBFC-Phys~\cite{sabour2023}, a multimodal dataset recorded during a social",FOUND,outputs\interim_secured_metrics.csv;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\pilot_checkpoints\oof_preds_rnd.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,109,496,"The experiments use a pre-registered pilot cohort of eight participants (s1--s8) from UBFC-Phys~\cite{sabour2023}, a multimodal dataset recorded during a social",FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\leakage_run\spectral_verification.csv;outputs\leakage_run\spectral_verification.txt;outputs\pilot_checkpoints\oof_preds_mod.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,113,3.566,"Faces are cropped using a width of $3.566 \times 1.5$ times the inter-ocular distance, a value chosen to reproduce the crop geometry used in the pre-registered ",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,113,1.5,"Faces are cropped using a width of $3.566 \times 1.5$ times the inter-ocular distance, a value chosen to reproduce the crop geometry used in the pre-registered ",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,127,0.85,"\item \textbf{Regime 1 (biased, $\rho = 0.85$):} the scar occurs mostly with stress, matching the association in the training data.",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,128,0.50,"\item \textbf{Regime 2 (neutral, $\rho = 0.50$):} the scar is distributed equally across classes.",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,129,0.15,"\item \textbf{Regime 3 (inverted, $\rho = 0.15$):} the scar occurs mostly without stress, reversing that association.",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,133,42,"Four models are compared, each trained with five random seeds (42, 100, 2026, 777, and 888) for 250 epochs with batch size 32 and learning rate $10^{-4}$, all u",FOUND,outputs\interim_secured_metrics.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\line_A_final_snr.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,133,100,"Four models are compared, each trained with five random seeds (42, 100, 2026, 777, and 888) for 250 epochs with batch size 32 and learning rate $10^{-4}$, all u",FOUND,outputs\interim_secured_metrics.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\thesis_final_comprehensive_report.json;outputs\leakage_run\null_corrs.csv;outputs\reports\p2_summary.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,133,777,"Four models are compared, each trained with five random seeds (42, 100, 2026, 777, and 888) for 250 epochs with batch size 32 and learning rate $10^{-4}$, all u",FOUND,outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\pilot_checkpoints\oof_preds_rnd.csv;outputs\reports\equitas_rcmf_edge_benchmark_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,133,888,"Four models are compared, each trained with five random seeds (42, 100, 2026, 777, and 888) for 250 epochs with batch size 32 and learning rate $10^{-4}$, all u",FOUND,outputs\pds_per_subject.csv;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json;outputs\leakage_run\null_corrs.csv;outputs\leakage_run\spectral_verification.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,133,250,"Four models are compared, each trained with five random seeds (42, 100, 2026, 777, and 888) for 250 epochs with batch size 32 and learning rate $10^{-4}$, all u",FOUND,outputs\pilot_checkpoints\oof_preds_rnd.csv;outputs\reports\equitas_rcmf_edge_benchmark_report.json;outputs\reports\p2_summary.csv;outputs\reports\train_camera_off_baseline_mobilenet_seed100_report.json;outputs\reports\train_camera_off_baseline_mobilenet_seed2026_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,133,32,"Four models are compared, each trained with five random seeds (42, 100, 2026, 777, and 888) for 250 epochs with batch size 32 and learning rate $10^{-4}$, all u",FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,152,4060,"Training used an RTX~4060 GPU, and the edge benchmark used an x86-64 CPU.",FOUND,docs\FULL_THESIS_PAPER.md,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,152,64,"Training used an RTX~4060 GPU, and the edge benchmark used an x86-64 CPU.",FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,2,24,The first experiment tests whether the facial video contains physiological information. Three remote photoplethysmography (rPPG) estimators were applied to the ,FOUND,outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,2,256,The first experiment tests whether the facial video contains physiological information. Three remote photoplethysmography (rPPG) estimators were applied to the ,FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\reports\equitas_rcmf_edge_benchmark_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,2,2035777,The first experiment tests whether the facial video contains physiological information. Three remote photoplethysmography (rPPG) estimators were applied to the ,FOUND,docs\cli_session_log.md;docs\experiment_preregistration.md;docs\FULL_THESIS_PAPER.md;docs\todo.md,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,10,0.5,POS ($I = 0.5$) & 1050.0 & 0.0314 & Primary pre-registered test \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,10,1050.0,POS ($I = 0.5$) & 1050.0 & 0.0314 & Primary pre-registered test \\,FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\estimator_comparison_full_output.txt;outputs\leakage_run\null_corrs.csv;outputs\leakage_run\o7_reanalysis.txt;outputs\source_audits\source_audit_adult_curation_pool.csv,
